specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence MASS,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Pluri Lettres - Langues - Sciences humaines,5,3.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Langues et littératures étrangères,25,23.0,5
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence AES,67,41.0,10
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Arts,170,117.0,42
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",CPGE S,57,15.0,7
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",CPGE L,2,1.0,1
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Formation générale aux métiers de l'ingénieur,58,32.0,6
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Las,32650,17652.0,5812
"['Physique-Chimie', 'Sciences de la vie et de la terre']",BTS production,3238,1763.0,457
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Pluri Droit - Sciences éco - AES,1,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Histoire,3,3.0,1
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",0,0.0,0
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Chimie,152,89.0,29
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",3,1.0,0
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']","Licence Psychlogie, Sciences cognitives",2479,1610.0,693
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Sciences religieuses,2,2.0,0
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Formation générale aux métiers de l'ingénieur,12,7.0,3
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Ensemble des candidats bacheliers,97,91.0,79
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Physique,0,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Pluri Lettres - Langues - Sciences humaines,234,168.0,37
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences politiques,34,5.0,3
"['Arts', 'Humanités, Littérature et Philosophie']",DCG,4,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Arts,10,7.0,4
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Formation générale aux métiers de l'ingénieur,2,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Philosophie, Epistémologie",129,95.0,16
"['Arts', 'Mathématiques']",Licence Langues et littératures françaises,51,42.0,9
"['Arts', 'Numérique et Sciences Informatiques']",Formations des écoles nationales vétérinaires,0,0.0,0
"['Arts', 'Physique-Chimie']",Licence Sciences politiques,7,1.0,0
"['Arts', 'Physique-Chimie']",BUT Service,33,11.0,6
"['Arts', 'Sciences économiques et sociales']",Licence Chimie,0,0.0,0
